ostation,dstation,duration
1号线富锦路,1号线友谊西路,3
1号线友谊西路,1号线宝安公路,3
1号线宝安公路,1号线共富新村,3
1号线共富新村,1号线呼兰路,3
1号线呼兰路,1号线通河新村,3
1号线通河新村,1号线共康路,3
1号线共康路,1号线彭浦新村,3
1号线彭浦新村,1号线汶水路,3
1号线汶水路,1号线上海马戏城,3
1号线上海马戏城,1号线延长路,3
1号线延长路,1号线中山北路,3
1号线中山北路,1号线上海火车站,3
1号线上海火车站,1号线汉中路,3
1号线汉中路,1号线新闸路,3
1号线新闸路,1号线人民广场,3
1号线人民广场,1号线黄陂南路,3
1号线黄陂南路,1号线陕西南路,3
1号线陕西南路,1号线常熟路,3
1号线常熟路,1号线衡山路,3
1号线衡山路,1号线徐家汇,3
1号线徐家汇,1号线上海体育馆,3
1号线上海体育馆,1号线漕宝路,3
1号线漕宝路,1号线上海南站,3
1号线上海南站,1号线锦江乐园,3
1号线锦江乐园,1号线莲花路,3
1号线莲花路,1号线外环路,3
1号线外环路,1号线莘庄,3
1号线莘庄,1号线外环路,3
1号线外环路,1号线莲花路,3
1号线莲花路,1号线锦江乐园,3
1号线锦江乐园,1号线上海南站,3
1号线上海南站,1号线漕宝路,3
1号线漕宝路,1号线上海体育馆,3
1号线上海体育馆,1号线徐家汇,3
1号线徐家汇,1号线衡山路,3
1号线衡山路,1号线常熟路,3
1号线常熟路,1号线陕西南路,3
1号线陕西南路,1号线黄陂南路,3
1号线黄陂南路,1号线人民广场,3
1号线人民广场,1号线新闸路,3
1号线新闸路,1号线汉中路,3
1号线汉中路,1号线上海火车站,3
1号线上海火车站,1号线中山北路,3
1号线中山北路,1号线延长路,3
1号线延长路,1号线上海马戏城,3
1号线上海马戏城,1号线汶水路,3
1号线汶水路,1号线彭浦新村,3
1号线彭浦新村,1号线共康路,3
1号线共康路,1号线通河新村,3
1号线通河新村,1号线呼兰路,3
1号线呼兰路,1号线共富新村,3
1号线共富新村,1号线宝安公路,3
1号线宝安公路,1号线友谊西路,3
1号线友谊西路,1号线富锦路,3
1号线苹果园,1号线古城,3
1号线古城,1号线八角游乐园,3
1号线八角游乐园,1号线八宝山,3
1号线八宝山,1号线玉泉路,3
1号线玉泉路,1号线五棵松,3
1号线五棵松,1号线万寿路,3
1号线万寿路,1号线公主坟,3
1号线公主坟,1号线军事博物馆,3
1号线军事博物馆,1号线木樨地,3
1号线木樨地,1号线南礼士路,3
1号线南礼士路,1号线复兴门,3
1号线复兴门,1号线西单,3
1号线西单,1号线天安门西,3
1号线天安门西,1号线天安门东,3
1号线天安门东,1号线王府井,3
1号线王府井,1号线东单,3
1号线东单,1号线建国门,3
1号线建国门,1号线永安里,3
1号线永安里,1号线国贸,3
1号线国贸,1号线大望路,3
1号线大望路,1号线四惠,3
1号线四惠,1号线四惠东,3
1号线四惠东,1号线四惠,3
1号线四惠,1号线大望路,3
1号线大望路,1号线国贸,3
1号线国贸,1号线永安里,3
1号线永安里,1号线建国门,3
1号线建国门,1号线东单,3
1号线东单,1号线王府井,3
1号线王府井,1号线天安门东,3
1号线天安门东,1号线天安门西,3
1号线天安门西,1号线西单,3
1号线西单,1号线复兴门,3
1号线复兴门,1号线南礼士路,3
1号线南礼士路,1号线木樨地,3
1号线木樨地,1号线军事博物馆,3
1号线军事博物馆,1号线公主坟,3
1号线公主坟,1号线万寿路,3
1号线万寿路,1号线五棵松,3
1号线五棵松,1号线玉泉路,3
1号线玉泉路,1号线八宝山,3
1号线八宝山,1号线八角游乐园,3
1号线八角游乐园,1号线古城,3
1号线古城,1号线苹果园,3
2号线徐泾东,2号线虹桥火车站,3
2号线虹桥火车站,2号线虹桥2号航站楼,3
2号线虹桥2号航站楼,2号线淞虹路,3
2号线淞虹路,2号线北新泾,3
2号线北新泾,2号线威宁路,3
2号线威宁路,2号线娄山关路,3
2号线娄山关路,2号线中山公园,3
2号线中山公园,2号线江苏路,3
2号线江苏路,2号线静安寺,3
2号线静安寺,2号线南京西路,3
2号线南京西路,2号线人民广场,3
2号线人民广场,2号线南京东路,3
2号线南京东路,2号线陆家嘴,3
2号线陆家嘴,2号线东昌路,3
2号线东昌路,2号线世纪大道,3
2号线世纪大道,2号线上海科技馆,3
2号线上海科技馆,2号线世纪公园,3
2号线世纪公园,2号线龙阳路,3
2号线龙阳路,2号线张江高科,3
2号线张江高科,2号线金科路,3
2号线金科路,2号线广兰路,3
2号线广兰路,2号线唐镇,3
2号线唐镇,2号线创新中路,3
2号线创新中路,2号线华夏东路,3
2号线华夏东路,2号线川沙,3
2号线川沙,2号线凌空路,3
2号线凌空路,2号线远东大道,3
2号线远东大道,2号线海天三路,3
2号线海天三路,2号线浦东国际机场,3
2号线浦东国际机场,2号线海天三路,3
2号线海天三路,2号线远东大道,3
2号线远东大道,2号线凌空路,3
2号线凌空路,2号线川沙,3
2号线川沙,2号线华夏东路,3
2号线华夏东路,2号线创新中路,3
2号线创新中路,2号线唐镇,3
2号线唐镇,2号线广兰路,3
2号线广兰路,2号线金科路,3
2号线金科路,2号线张江高科,3
2号线张江高科,2号线龙阳路,3
2号线龙阳路,2号线世纪公园,3
2号线世纪公园,2号线上海科技馆,3
2号线上海科技馆,2号线世纪大道,3
2号线世纪大道,2号线东昌路,3
2号线东昌路,2号线陆家嘴,3
2号线陆家嘴,2号线南京东路,3
2号线南京东路,2号线人民广场,3
2号线人民广场,2号线南京西路,3
2号线南京西路,2号线静安寺,3
2号线静安寺,2号线江苏路,3
2号线江苏路,2号线中山公园,3
2号线中山公园,2号线娄山关路,3
2号线娄山关路,2号线威宁路,3
2号线威宁路,2号线北新泾,3
2号线北新泾,2号线淞虹路,3
2号线淞虹路,2号线虹桥2号航站楼,3
2号线虹桥2号航站楼,2号线虹桥火车站,3
2号线虹桥火车站,2号线徐泾东,3
10号线新江湾城,10号线殷高东路,3
10号线殷高东路,10号线三门路,3
10号线三门路,10号线江湾体育场,3
10号线江湾体育场,10号线五角场,3
10号线五角场,10号线国权路,3
10号线国权路,10号线同济大学,3
10号线同济大学,10号线四平路,3
10号线四平路,10号线邮电新村,3
10号线邮电新村,10号线海伦路,3
10号线海伦路,10号线四川北路,3
10号线四川北路,10号线天潼路,3
10号线天潼路,10号线南京东路,3
10号线南京东路,10号线豫园,3
10号线豫园,10号线老西门,3
10号线老西门,10号线新天地,3
10号线新天地,10号线陕西南路,3
10号线陕西南路,10号线上海图书馆,3
10号线上海图书馆,10号线交通大学,3
10号线交通大学,10号线虹桥路,3
10号线虹桥路,10号线宋园路,3
10号线宋园路,10号线伊犁路,3
10号线伊犁路,10号线水城路,3
10号线水城路,10号线龙溪路,3
10号线龙溪路,10号线上海动物园,3
10号线上海动物园,10号线虹桥1号航站楼,3
10号线虹桥1号航站楼,10号线虹桥2号航站楼,3
10号线虹桥2号航站楼,10号线虹桥火车站,3
10号线虹桥火车站,10号线虹桥2号航站楼,3
10号线虹桥2号航站楼,10号线虹桥1号航站楼,3
10号线虹桥1号航站楼,10号线上海动物园,3
10号线上海动物园,10号线龙溪路,3
10号线龙溪路,10号线水城路,3
10号线水城路,10号线伊犁路,3
10号线伊犁路,10号线宋园路,3
10号线宋园路,10号线虹桥路,3
10号线虹桥路,10号线交通大学,3
10号线交通大学,10号线上海图书馆,3
10号线上海图书馆,10号线陕西南路,3
10号线陕西南路,10号线新天地,3
10号线新天地,10号线老西门,3
10号线老西门,10号线豫园,3
10号线豫园,10号线南京东路,3
10号线南京东路,10号线天潼路,3
10号线天潼路,10号线四川北路,3
10号线四川北路,10号线海伦路,3
10号线海伦路,10号线邮电新村,3
10号线邮电新村,10号线四平路,3
10号线四平路,10号线同济大学,3
10号线同济大学,10号线国权路,3
10号线国权路,10号线五角场,3
10号线五角场,10号线江湾体育场,3
10号线江湾体育场,10号线三门路,3
10号线三门路,10号线殷高东路,3
10号线殷高东路,10号线新江湾城,3
10号线航中路,10号线紫藤路,3
10号线紫藤路,10号线龙柏新村,3
10号线龙柏新村,10号线龙溪路,3
10号线龙溪路,10号线水城路,3
10号线水城路,10号线伊犁路,3
10号线伊犁路,10号线宋园路,3
10号线宋园路,10号线虹桥路,3
10号线虹桥路,10号线交通大学,3
10号线交通大学,10号线上海图书馆,3
10号线上海图书馆,10号线陕西南路,3
10号线陕西南路,10号线新天地,3
10号线新天地,10号线老西门,3
10号线老西门,10号线豫园,3
10号线豫园,10号线南京东路,3
10号线南京东路,10号线天潼路,3
10号线天潼路,10号线四川北路,3
10号线四川北路,10号线海伦路,3
10号线海伦路,10号线邮电新村,3
10号线邮电新村,10号线四平路,3
10号线四平路,10号线同济大学,3
10号线同济大学,10号线国权路,3
10号线国权路,10号线五角场,3
10号线五角场,10号线江湾体育场,3
10号线江湾体育场,10号线三门路,3
10号线三门路,10号线殷高东路,3
10号线殷高东路,10号线新江湾城,3
10号线新江湾城,10号线殷高东路,3
10号线殷高东路,10号线三门路,3
10号线三门路,10号线江湾体育场,3
10号线江湾体育场,10号线五角场,3
10号线五角场,10号线国权路,3
10号线国权路,10号线同济大学,3
10号线同济大学,10号线四平路,3
10号线四平路,10号线邮电新村,3
10号线邮电新村,10号线海伦路,3
10号线海伦路,10号线四川北路,3
10号线四川北路,10号线天潼路,3
10号线天潼路,10号线南京东路,3
10号线南京东路,10号线豫园,3
10号线豫园,10号线老西门,3
10号线老西门,10号线新天地,3
10号线新天地,10号线陕西南路,3
10号线陕西南路,10号线上海图书馆,3
