日期,记录数,唯一keyid数,唯一格点数,最早时间,最晚时间,重复keyid数,API_total,delta,API_flag,状态
2021-01-03,584016,584016,4232,2021-01-03 00:04:57,2021-01-03 23:57:18,0,1003773,419757,,正常
2021-01-04,537196,537196,4232,2021-01-04 00:06:08,2021-01-04 23:57:59,0,882586,345390,,正常
2021-01-05,305312,305312,4232,2021-01-05 00:05:46,2021-01-05 15:59:18,0,356663,51351,,正常
2021-01-06,355488,355488,4232,2021-01-06 09:58:13,2021-01-06 23:58:45,0,547960,192472,,正常
2021-01-07,423200,423200,4232,2021-01-07 00:05:45,2021-01-07 23:58:19,0,767210,344010,,正常
2021-01-08,578931,578931,4232,2021-01-08 00:06:10,2021-01-08 23:59:19,0,2447483,1868552,,正常
2021-01-09,600944,600944,4232,2021-01-09 00:07:41,2021-01-09 23:58:40,0,2506585,1905641,,正常
2021-01-10,592480,592480,4232,2021-01-10 00:05:30,2021-01-10 23:57:26,0,2632527,2040047,,正常
2021-01-11,567088,567088,4232,2021-01-11 00:05:55,2021-01-11 23:59:26,0,2733343,2166255,,正常
2021-01-12,558624,558624,4232,2021-01-12 00:07:12,2021-01-12 23:48:26,0,645432,86808,,正常
2021-01-13,537464,537464,4232,2021-01-13 00:00:22,2021-01-13 23:59:51,0,1477205,939741,,正常
2021-01-14,605176,605176,4232,2021-01-14 00:07:32,2021-01-14 23:59:25,0,1506539,901363,,正常
2021-01-15,567088,567088,4232,2021-01-15 00:05:56,2021-01-15 23:58:05,0,932792,365704,,正常
2021-01-16,567088,567088,4232,2021-01-16 00:05:54,2021-01-16 23:58:15,0,666076,98988,,正常
2021-01-17,338560,338560,4232,2021-01-17 00:07:57,2021-01-17 23:58:05,0,625948,287388,,正常
2021-01-18,359720,359720,4232,2021-01-18 00:05:32,2021-01-18 21:05:24,0,628496,268776,,正常
2021-01-19,355488,355488,4232,2021-01-19 00:09:46,2021-01-19 23:59:18,0,571666,216178,,正常
2021-01-20,296240,296240,4232,2021-01-20 00:07:24,2021-01-20 21:05:25,0,485133,188893,,正常
2021-01-21,351256,351256,4232,2021-01-21 00:10:42,2021-01-21 23:04:46,0,561499,210243,,正常
2021-01-22,186208,186208,4232,2021-01-22 00:06:02,2021-01-22 10:05:46,0,266756,80548,,正常
2021-01-23,0,0,0,,,0,1,1,empty_data_but_total_1,异常-API_total1空
2021-01-24,0,0,0,,,0,1,1,empty_data_but_total_1,异常-API_total1空
2021-01-25,105800,105800,4232,2021-01-25 12:07:43,2021-01-25 21:05:23,0,149922,44122,,正常
2021-01-26,177744,177744,4232,2021-01-26 00:10:38,2021-01-26 21:06:49,0,246662,68918,,正常
2021-01-27,118496,118496,4232,2021-01-27 00:07:13,2021-01-27 21:05:21,0,207952,89456,,正常
2021-01-28,177744,177744,4232,2021-01-28 00:05:33,2021-01-28 21:06:42,0,328762,151018,,正常
2021-01-29,177744,177744,4232,2021-01-29 00:06:09,2021-01-29 21:05:56,0,266416,88672,,正常
2021-01-30,173512,173512,4232,2021-01-30 00:05:26,2021-01-30 21:07:13,0,370921,197409,,正常
2021-01-31,177744,177744,4232,2021-01-31 00:05:38,2021-01-31 21:07:50,0,398311,220567,,正常
2021-02-01,177744,177744,4232,2021-02-01 00:05:12,2021-02-01 21:06:59,0,279725,101981,,正常
2021-02-02,169280,169280,4232,2021-02-02 00:06:47,2021-02-02 21:07:02,0,318169,148889,,正常
2021-02-03,160816,160816,4232,2021-02-03 00:07:45,2021-02-03 21:04:06,0,271925,111109,,正常
2021-02-04,194672,194672,4232,2021-02-04 00:07:39,2021-02-04 21:07:07,0,341386,146714,,正常
2021-02-05,173512,173512,4232,2021-02-05 00:05:24,2021-02-05 21:07:54,0,331145,157633,,正常
2021-02-06,177744,177744,4232,2021-02-06 00:06:59,2021-02-06 21:06:36,0,322288,144544,,正常
2021-02-07,160816,160816,4232,2021-02-07 00:07:07,2021-02-07 21:06:31,0,2499119,2338303,,正常
2021-02-08,177744,177744,4232,2021-02-08 00:07:11,2021-02-08 21:06:34,0,344488,166744,,正常
2021-02-09,169280,169280,4232,2021-02-09 00:06:48,2021-02-09 21:07:56,0,220116,50836,,正常
2021-02-10,131192,131192,4232,2021-02-10 00:05:26,2021-02-10 21:05:45,0,410029,278837,,正常
2021-02-11,177744,177744,4232,2021-02-11 00:07:46,2021-02-11 21:06:26,0,327221,149477,,正常
2021-02-12,177744,177744,4232,2021-02-12 00:07:08,2021-02-12 21:06:56,0,578392,400648,,正常
2021-02-13,165048,165048,4232,2021-02-13 00:05:37,2021-02-13 21:04:29,0,330756,165708,,正常
2021-02-14,169280,169280,4232,2021-02-14 00:07:03,2021-02-14 21:04:56,0,622678,453398,,正常
2021-02-15,177744,177744,4232,2021-02-15 00:07:06,2021-02-15 21:07:02,0,275505,97761,,正常
2021-02-16,173512,173512,4232,2021-02-16 00:05:18,2021-02-16 21:05:14,0,553600,380088,,正常
2021-02-17,177744,177744,4232,2021-02-17 00:05:48,2021-02-17 21:06:34,0,332911,155167,,正常
2021-02-18,148120,148120,4232,2021-02-18 00:06:30,2021-02-18 21:07:20,0,516723,368603,,正常
2021-02-19,148120,148120,4232,2021-02-19 00:07:05,2021-02-19 21:05:05,0,281954,133834,,正常
2021-02-20,198904,198904,4232,2021-02-20 00:05:43,2021-02-20 21:07:11,0,407312,208408,,正常
2021-02-21,177744,177744,4232,2021-02-21 00:05:15,2021-02-21 21:06:18,0,376334,198590,,正常
2021-02-22,224296,224296,4232,2021-02-22 00:05:05,2021-02-22 21:06:41,0,304027,79731,,正常
2021-02-23,177744,177744,4232,2021-02-23 00:05:26,2021-02-23 21:07:10,0,402040,224296,,正常
2021-02-24,143888,143888,4232,2021-02-24 00:07:02,2021-02-24 21:06:17,0,397490,253602,,正常
2021-02-25,169280,169280,4232,2021-02-25 00:10:31,2021-02-25 21:07:02,0,466800,297520,,正常
2021-02-26,118496,118496,4232,2021-02-26 00:08:10,2021-02-26 21:07:30,0,217732,99236,,正常
2021-02-27,165048,165048,4232,2021-02-27 00:10:37,2021-02-27 21:06:55,0,433165,268117,,正常
2021-02-28,177744,177744,4232,2021-02-28 00:10:17,2021-02-28 21:10:19,0,289012,111268,,正常
2021-03-01,165048,165048,4232,2021-03-01 00:11:23,2021-03-01 21:06:55,0,216436,51388,,正常
2021-03-02,126960,126960,4232,2021-03-02 12:05:58,2021-03-02 21:05:49,0,211600,84640,,正常
2021-03-03,215832,215832,4232,2021-03-03 00:10:40,2021-03-03 21:06:56,0,288216,72384,,正常
2021-03-04,177744,177744,4232,2021-03-04 00:11:24,2021-03-04 21:08:24,0,385030,207286,,正常
2021-03-05,169280,169280,4232,2021-03-05 00:12:22,2021-03-05 21:08:25,0,291273,121993,,正常
2021-03-06,177744,177744,4232,2021-03-06 00:13:51,2021-03-06 21:06:03,0,472563,294819,,正常
2021-03-07,173512,173512,4232,2021-03-07 00:05:31,2021-03-07 21:05:19,0,325796,152284,,正常
2021-03-08,160816,160816,4232,2021-03-08 00:06:08,2021-03-08 21:07:46,0,344924,184108,,正常
2021-03-09,177744,177744,4232,2021-03-09 00:09:13,2021-03-09 21:09:23,0,254271,76527,,正常
2021-03-10,245456,245456,4232,2021-03-10 00:07:02,2021-03-10 21:04:07,0,363952,118496,,正常
2021-03-11,88872,88872,4232,2021-03-11 12:03:42,2021-03-11 21:05:01,0,152352,63480,,正常
2021-03-12,152352,152352,4232,2021-03-12 00:05:25,2021-03-12 21:03:48,0,331782,179430,,正常
2021-03-13,173512,173512,4232,2021-03-13 00:04:11,2021-03-13 21:05:11,0,269119,95607,,正常
2021-03-14,177744,177744,4232,2021-03-14 00:05:31,2021-03-14 21:04:24,0,222444,44700,,正常
2021-03-15,46552,46552,4232,2021-03-15 00:04:45,2021-03-15 13:05:16,0,136296,89744,,正常
2021-03-16,84640,84640,4232,2021-03-16 12:05:59,2021-03-16 21:05:05,0,171997,87357,,正常
2021-03-17,88872,88872,4232,2021-03-17 00:05:33,2021-03-17 09:06:51,0,132255,43383,,正常
2021-03-18,135424,135424,4232,2021-03-18 09:58:01,2021-03-18 15:04:31,0,135424,0,,正常
2021-03-19,359720,359720,4232,2021-03-19 09:58:39,2021-03-19 23:58:42,0,588450,228730,,正常
2021-03-20,609408,609408,4232,2021-03-20 00:04:45,2021-03-20 23:57:49,0,999497,390089,,正常
2021-03-21,448592,448592,4232,2021-03-21 00:03:57,2021-03-21 17:34:15,0,498646,50054,,正常
2021-03-22,0,0,0,,,0,1,1,empty_data_but_total_1,异常-API_total1空
2021-03-23,177744,177744,4232,2021-03-23 09:27:19,2021-03-23 23:58:10,0,261739,83995,,正常
2021-03-24,111540,111540,4232,2021-03-24 00:04:15,2021-03-24 16:05:22,0,118916,7376,,正常
2021-03-25,88872,88872,4232,2021-03-25 12:04:21,2021-03-25 21:04:18,0,176937,88065,,正常
2021-03-26,177744,177744,4232,2021-03-26 00:04:42,2021-03-26 21:05:07,0,331859,154115,,正常
2021-03-27,173512,173512,4232,2021-03-27 00:05:29,2021-03-27 21:05:34,0,499376,325864,,正常
2021-03-28,177744,177744,4232,2021-03-28 00:03:58,2021-03-28 21:06:38,0,273597,95853,,正常
2021-03-29,135424,135424,4232,2021-03-29 00:05:06,2021-03-29 20:46:51,0,341437,206013,,正常
2021-03-30,88872,88872,4232,2021-03-30 12:05:55,2021-03-30 21:04:05,0,118176,29304,,正常
2021-03-31,118496,118496,4232,2021-03-31 00:04:33,2021-03-31 21:05:09,0,266616,148120,,正常
2021-04-01,135424,135424,4232,2021-04-01 00:05:44,2021-04-01 20:34:37,0,173932,38508,,正常
2021-04-02,88872,88872,4232,2021-04-02 12:04:04,2021-04-02 21:04:18,0,91514,2642,,正常
2021-04-03,152352,152352,4232,2021-04-03 00:04:47,2021-04-03 21:04:28,0,407530,255178,,正常
2021-04-04,101568,101568,4232,2021-04-04 00:04:50,2021-04-04 21:04:24,0,248341,146773,,正常
2021-04-05,173512,173512,4232,2021-04-05 00:04:52,2021-04-05 21:05:11,0,317513,144001,,正常
2021-04-06,67712,67712,4232,2021-04-06 00:05:35,2021-04-06 17:19:07,0,108826,41114,,正常
2021-04-07,29624,29624,4232,2021-04-07 20:05:30,2021-04-07 21:04:31,0,33856,4232,,正常
2021-04-08,4232,4232,4232,2021-04-08 00:04:57,2021-04-08 00:05:01,0,5108,876,,正常
2021-04-09,59248,59248,4232,2021-04-09 16:05:10,2021-04-09 21:05:43,0,67549,8301,,正常
2021-04-10,169280,169280,4232,2021-04-10 00:04:04,2021-04-10 21:04:12,0,381590,212310,,正常
2021-04-11,177744,177744,4232,2021-04-11 00:04:32,2021-04-11 21:04:49,0,289362,111618,,正常
2021-04-12,118496,118496,4232,2021-04-12 00:05:16,2021-04-12 21:05:30,0,417270,298774,,正常
2021-04-13,177744,177744,4232,2021-04-13 00:03:55,2021-04-13 21:04:21,0,207628,29884,,正常
2021-04-14,152352,152352,4232,2021-04-14 00:04:46,2021-04-14 21:04:09,0,356632,204280,,正常
2021-04-15,88872,88872,4232,2021-04-15 00:04:34,2021-04-15 21:05:13,0,286814,197942,,正常
2021-04-16,160816,160816,4232,2021-04-16 00:05:38,2021-04-16 21:04:01,0,238350,77534,,正常
2021-04-17,148120,148120,4232,2021-04-17 00:04:30,2021-04-17 21:04:43,0,244877,96757,,正常
2021-04-18,143888,143888,4232,2021-04-18 00:05:09,2021-04-18 17:04:12,0,172752,28864,,正常
2021-04-19,0,0,0,,,0,1,1,empty_data_but_total_1,异常-API_total1空
2021-04-20,0,0,0,,,0,1,1,empty_data_but_total_1,异常-API_total1空
2021-04-21,91272,91272,4232,2021-04-21 09:34:08,2021-04-21 12:57:54,0,91272,0,,正常
2021-04-22,376142,376142,4232,2021-04-22 09:45:31,2021-04-22 22:58:18,0,376142,0,,正常
2021-04-23,391484,391484,4232,2021-04-23 10:05:02,2021-04-23 23:58:51,0,553924,162440,,正常
2021-04-24,664094,664094,4232,2021-04-24 00:04:51,2021-04-24 23:58:16,0,983955,319861,,正常
2021-04-25,208040,208040,4232,2021-04-25 00:04:19,2021-04-25 07:27:21,0,385356,177316,,正常
2021-04-26,0,0,0,,,0,1,1,empty_data_but_total_1,异常-API_total1空
2021-04-27,193902,193902,4232,2021-04-27 12:04:58,2021-04-27 18:46:38,0,193902,0,,正常
2021-04-28,239424,239424,4232,2021-04-28 15:34:10,2021-04-28 23:58:57,0,425008,185584,,正常
2021-04-29,409318,409318,4232,2021-04-29 00:05:07,2021-04-29 17:04:05,0,547168,137850,,正常
2021-04-30,344178,344178,4232,2021-04-30 11:26:59,2021-04-30 23:57:13,0,347198,3020,,正常
2021-05-01,670358,670358,4232,2021-05-01 00:05:21,2021-05-01 23:57:39,0,925323,254965,,正常
2021-05-02,652014,652014,4232,2021-05-02 00:05:45,2021-05-02 23:56:53,0,927299,275285,,正常
2021-05-03,674380,674380,4232,2021-05-03 00:05:02,2021-05-03 23:57:01,0,878479,204099,,正常
2021-05-04,643606,643606,4232,2021-05-04 00:05:09,2021-05-04 23:57:47,0,975322,331716,,正常
2021-05-05,331286,331286,4232,2021-05-05 00:03:49,2021-05-05 12:17:38,0,512581,181295,,正常
2021-05-06,0,0,0,,,0,1,1,empty_data_but_total_1,异常-API_total1空
2021-05-07,25390,25390,4232,2021-05-07 10:47:22,2021-05-07 11:34:10,0,25390,0,,正常
2021-05-08,371276,371276,4232,2021-05-08 10:26:48,2021-05-08 23:57:27,0,379968,8692,,正常
2021-05-09,592270,592270,4232,2021-05-09 00:05:34,2021-05-09 21:26:55,0,705342,113072,,正常
2021-05-10,396940,396940,4232,2021-05-10 09:46:39,2021-05-10 23:57:15,0,494776,97836,,正常
2021-05-11,491956,491956,4232,2021-05-11 00:05:24,2021-05-11 23:58:47,0,751186,259230,,正常
2021-05-12,247560,247560,4232,2021-05-12 00:04:51,2021-05-12 09:05:02,0,269218,21658,,正常
2021-05-13,368950,368950,4232,2021-05-13 10:35:42,2021-05-13 23:58:19,0,529670,160720,,正常
2021-05-14,556198,556198,4232,2021-05-14 00:04:25,2021-05-14 23:58:30,0,874594,318396,,正常
2021-05-15,660656,660656,4232,2021-05-15 00:04:39,2021-05-15 23:58:31,0,990711,330055,,正常
2021-05-16,674496,674496,4232,2021-05-16 00:04:37,2021-05-16 23:57:03,0,822136,147640,,正常
2021-05-17,476068,476068,4232,2021-05-17 00:05:08,2021-05-17 23:58:29,0,760344,284276,,正常
2021-05-18,485364,485364,4232,2021-05-18 00:04:39,2021-05-18 23:46:34,0,522155,36791,,正常
2021-05-19,371544,371544,4232,2021-05-19 10:45:23,2021-05-19 23:58:24,0,381298,9754,,正常
2021-05-20,170138,170138,4232,2021-05-20 00:04:31,2021-05-20 05:46:53,0,283144,113006,,正常
2021-05-21,372562,372562,4232,2021-05-21 09:56:50,2021-05-21 23:58:15,0,691446,318884,,正常
2021-05-22,638122,638122,4232,2021-05-22 00:04:16,2021-05-22 23:58:45,0,654716,16594,,正常
2021-05-23,692546,692546,4232,2021-05-23 00:04:49,2021-05-23 23:58:26,0,1085792,393246,,正常
2021-05-24,280088,280088,4232,2021-05-24 00:04:29,2021-05-24 09:57:35,0,306429,26341,,正常
2021-05-25,308372,308372,4232,2021-05-25 10:15:36,2021-05-25 21:46:14,0,308372,0,,正常
2021-05-26,0,0,0,,,0,1,1,empty_data_but_total_1,异常-API_total1空
2021-05-27,0,0,0,,,0,1,1,empty_data_but_total_1,异常-API_total1空
2021-05-28,374844,374844,4232,2021-05-28 10:15:58,2021-05-28 23:58:04,0,630784,255940,,正常
2021-05-29,662250,662250,4232,2021-05-29 00:04:09,2021-05-29 23:57:08,0,989216,326966,,正常
2021-05-30,678322,678322,4232,2021-05-30 00:05:13,2021-05-30 23:58:44,0,983781,305459,,正常
2021-05-31,228020,228020,4232,2021-05-31 00:04:47,2021-05-31 08:16:45,0,244956,16936,,正常
2021-06-01,69670,69670,4232,2021-06-01 11:05:24,2021-06-01 13:27:46,0,69670,0,,正常
2021-06-02,246588,246588,4232,2021-06-02 09:46:26,2021-06-02 19:05:35,0,246588,0,,正常
2021-06-03,0,0,0,,,0,1,1,empty_data_but_total_1,异常-API_total1空
2021-06-04,0,0,0,,,0,1,1,empty_data_but_total_1,异常-API_total1空
2021-06-05,0,0,0,,,0,1,1,empty_data_but_total_1,异常-API_total1空
2021-06-06,0,0,0,,,0,1,1,empty_data_but_total_1,异常-API_total1空
2021-06-07,340120,340120,4232,2021-06-07 11:46:07,2021-06-07 23:57:40,0,375724,35604,,正常
2021-06-08,570630,570630,4232,2021-06-08 00:03:48,2021-06-08 23:57:48,0,1033490,462860,,正常
2021-06-09,270216,270216,4232,2021-06-09 00:03:52,2021-06-09 10:03:46,0,392345,122129,,正常
2021-06-10,0,0,0,,,0,1,1,empty_data_but_total_1,异常-API_total1空
2021-06-11,0,0,0,,,0,1,1,empty_data_but_total_1,异常-API_total1空
2021-06-12,0,0,0,,,0,1,1,empty_data_but_total_1,异常-API_total1空
2021-06-13,0,0,0,,,0,1,1,empty_data_but_total_1,异常-API_total1空
2021-06-14,0,0,0,,,0,1,1,empty_data_but_total_1,异常-API_total1空
2021-06-15,0,0,0,,,0,1,1,empty_data_but_total_1,异常-API_total1空
2021-06-16,0,0,0,,,0,1,1,empty_data_but_total_1,异常-API_total1空
2021-06-17,0,0,0,,,0,1,1,empty_data_but_total_1,异常-API_total1空
2021-06-18,0,0,0,,,0,1,1,empty_data_but_total_1,异常-API_total1空
2021-06-19,0,0,0,,,0,1,1,empty_data_but_total_1,异常-API_total1空
2021-06-20,0,0,0,,,0,1,1,empty_data_but_total_1,异常-API_total1空
2021-06-21,0,0,0,,,0,1,1,empty_data_but_total_1,异常-API_total1空
