格网左下角经度（度）,格网右上角纬度（度）,格网相对Y坐标,格网相对X坐标,格网ID（唯一）,格网左下角纬度（度）,格网右上角经度（度）,格网编码
"1.142333E+002","2.2559999999999999E+001",15,50,1430,"2.2550000000000001E+001","1.142433E+002","50,15"
"1.142433E+002","2.2420000000000002E+001",1,51,143,"2.241E+001","1.142533E+002","51,1"
"1.1422329999999999E+002","2.2559999999999999E+001",15,49,1429,"2.2550000000000001E+001","1.142333E+002","49,15"
"1.142133E+002","2.2559999999999999E+001",15,48,1428,"2.2550000000000001E+001","1.1422329999999999E+002","48,15"
"1.142033E+002","2.2559999999999999E+001",15,47,1427,"2.2550000000000001E+001","1.142133E+002","47,15"
"1.1419329999999999E+002","2.2559999999999999E+001",15,46,1426,"2.2550000000000001E+001","1.142033E+002","46,15"
"1.141833E+002","2.2559999999999999E+001",15,45,1425,"2.2550000000000001E+001","1.1419329999999999E+002","45,15"
"1.141733E+002","2.2559999999999999E+001",15,44,1424,"2.2550000000000001E+001","1.141833E+002","44,15"
"1.1416330000000001E+002","2.2559999999999999E+001",15,43,1423,"2.2550000000000001E+001","1.141733E+002","43,15"
"1.141533E+002","2.2559999999999999E+001",15,42,1422,"2.2550000000000001E+001","1.1416330000000001E+002","42,15"
"1.141433E+002","2.2559999999999999E+001",15,41,1421,"2.2550000000000001E+001","1.141533E+002","41,15"
"1.1413330000000001E+002","2.2559999999999999E+001",15,40,1420,"2.2550000000000001E+001","1.141433E+002","40,15"
"1.142333E+002","2.2420000000000002E+001",1,50,142,"2.241E+001","1.142433E+002","50,1"
"1.141233E+002","2.2559999999999999E+001",15,39,1419,"2.2550000000000001E+001","1.1413330000000001E+002","39,15"
"1.141133E+002","2.2559999999999999E+001",15,38,1418,"2.2550000000000001E+001","1.141233E+002","38,15"
"1.141033E+002","2.2559999999999999E+001",15,37,1417,"2.2550000000000001E+001","1.141133E+002","37,15"
"1.140933E+002","2.2559999999999999E+001",15,36,1416,"2.2550000000000001E+001","1.141033E+002","36,15"
"1.1408329999999999E+002","2.2559999999999999E+001",15,35,1415,"2.2550000000000001E+001","1.140933E+002","35,15"
"1.140733E+002","2.2559999999999999E+001",15,34,1414,"2.2550000000000001E+001","1.1408329999999999E+002","34,15"
"1.140633E+002","2.2559999999999999E+001",15,33,1413,"2.2550000000000001E+001","1.140733E+002","33,15"
"1.1405329999999999E+002","2.2559999999999999E+001",15,32,1412,"2.2550000000000001E+001","1.140633E+002","32,15"
"1.140433E+002","2.2559999999999999E+001",15,31,1411,"2.2550000000000001E+001","1.1405329999999999E+002","31,15"
"1.140333E+002","2.2559999999999999E+001",15,30,1410,"2.2550000000000001E+001","1.140433E+002","30,15"
"1.1422329999999999E+002","2.2420000000000002E+001",1,49,141,"2.241E+001","1.142333E+002","49,1"
"1.1402330000000001E+002","2.2559999999999999E+001",15,29,1409,"2.2550000000000001E+001","1.140333E+002","29,15"
"1.140133E+002","2.2559999999999999E+001",15,28,1408,"2.2550000000000001E+001","1.1402330000000001E+002","28,15"
"1.140033E+002","2.2559999999999999E+001",15,27,1407,"2.2550000000000001E+001","1.140133E+002","27,15"
"1.139933E+002","2.2559999999999999E+001",15,26,1406,"2.2550000000000001E+001","1.140033E+002","26,15"
